Track ID,Track Name,Artist Name,Album Name,Release Date,Genre,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature,Track Popularity,User ID,Listen Count,Playlist Count,Skip Count,Like Count,Share Count,Listen Date/Time,Skip Date/Time,User Age,User Gender,User Location
11,Song L,Artist L,Album L,2019-07-12,Hip-Hop,0.8,0.14,0,-4.2,0,0.59,0.56,0.49,0.76,0.87,117.86,286139,5,94,1688,32,10,1,4,2,2024-01-19 03:18,2024-01-19 03:18,22,Non-Binary,Canada
12,Song M,Artist M,Album M,2018-12-31,Pop,0.25,0.75,1,-52.67,1,0.17,0.03,0.97,1.0,0.29,198.75,65570,3,39,1672,11,4,5,1,4,2024-02-13 03:18,2024-02-13 03:18,18,Non-Binary,UK
13,Song N,Artist N,Album N,2016-02-17,Jazz,0.26,0.13,11,-45.51,0,0.47,0.35,0.48,0.15,0.18,120.8,259276,4,82,1079,25,5,3,6,0,2024-01-27 03:18,,43,Male,UK
14,Song O,Artist O,Album O,2018-09-13,Pop,0.47,0.74,3,-45.18,0,0.76,0.42,0.81,0.46,0.88,196.39,184364,3,13,1175,32,3,7,4,3,2023-08-16 03:18,2023-08-16 03:18,46,Female,Australia
15,Song P,Artist P,Album P,2020-03-15,Pop,0.03,0.52,4,-54.19,1,0.21,0.51,0.34,0.27,0.3,70.84,295406,5,2,1374,33,0,1,10,5,2024-02-27 03:18,2024-02-27 03:18,44,Non-Binary,USA
16,Song Q,Artist Q,Album Q,2021-07-28,Hip-Hop,0.87,0.71,9,-44.79,0,0.78,0.32,0.37,0.5,0.52,73.15,166372,4,84,1108,31,2,0,9,4,2023-10-18 03:18,,35,Non-Binary,UK
17,Song R,Artist R,Album R,2014-10-22,Jazz,0.27,0.03,7,-23.04,0,0.61,0.42,0.38,0.43,0.96,93.18,64903,4,51,1573,36,1,2,6,2,2023-12-16 03:18,,33,Male,Canada
18,Song S,Artist S,Album S,2023-10-19,Pop,0.94,0.05,0,-21.51,0,0.34,0.77,0.22,0.84,0.52,151.78,233411,3,18,1159,13,9,0,4,3,2023-09-11 03:18,,52,Female,USA
19,Song T,Artist T,Album T,2014-11-14,Jazz,0.47,0.5,9,-1.69,0,0.99,0.53,0.28,0.56,0.07,120.43,235642,4,29,1074,47,9,0,7,1,2024-05-01 03:18,,20,Male,Canada
20,Song U,Artist U,Album U,2016-10-01,Jazz,0.87,0.02,11,-41.69,1,0.21,0.94,0.14,0.17,0.44,137.74,196683,4,75,1825,42,4,3,6,4,2024-05-03 03:18,2024-05-03 03:18,29,Female,Canada
21,Song V,Artist V,Album V,2014-10-03,Rock,0.11,0.13,1,-15.43,0,0.33,0.23,0.39,0.08,0.84,191.12,294475,3,11,1739,21,1,0,1,4,2023-09-02 03:18,,27,Non-Binary,Canada
22,Song W,Artist W,Album W,2019-07-17,Classical,0.53,0.58,5,-4.69,1,0.22,0.86,0.69,0.24,0.38,69.03,259704,4,36,1581,44,10,1,0,4,2024-02-07 03:18,,24,Female,Germany
23,Song X,Artist X,Album X,2016-06-21,Pop,0.42,0.76,0,-4.51,0,0.78,0.67,0.52,0.75,0.33,81.58,284812,5,17,1051,31,9,5,7,5,2024-01-24 03:18,2024-01-24 03:18,54,Female,Germany
24,Song Y,Artist Y,Album Y,2016-11-16,Pop,0.09,0.51,2,-23.68,1,0.08,0.71,0.5,0.09,0.14,114.63,177935,5,3,1290,17,5,2,7,5,2023-09-06 03:18,2023-09-06 03:18,64,Non-Binary,Canada
25,Song Z,Artist Z,Album Z,2020-10-06,Classical,0.6,0.67,6,-55.68,0,0.3,0.9,0.07,0.59,0.03,190.68,182179,4,93,1323,2,0,3,1,2,2023-08-17 03:18,2023-08-17 03:18,32,Male,Germany
26,Song A,Artist A,Album A,2023-05-03,Pop,0.11,0.52,7,-21.31,1,0.71,0.17,0.94,0.35,0.14,82.39,265064,5,4,1277,15,9,3,4,5,2024-03-25 03:18,2024-03-25 03:18,33,Non-Binary,Germany
27,Song B,Artist B,Album B,2020-08-16,Jazz,0.86,0.97,11,-10.71,0,0.99,0.62,0.91,0.91,0.66,172.03,153694,4,16,1214,12,0,8,1,2,2023-09-29 03:18,2023-09-29 03:18,51,Male,Germany
28,Song C,Artist C,Album C,2022-07-02,Jazz,0.56,0.12,10,-44.39,0,0.6,0.61,0.42,0.33,0.17,182.35,75447,4,54,1773,38,4,2,9,4,2024-05-16 03:18,2024-05-16 03:18,51,Female,UK
29,Song D,Artist D,Album D,2018-07-31,Hip-Hop,0.17,0.36,6,-18.36,0,0.99,0.1,0.14,0.37,0.4,105.49,131310,4,20,1994,48,10,0,4,1,2023-10-16 03:18,,27,Female,Germany
30,Song E,Artist E,Album E,2016-11-01,Rock,0.01,0.04,10,-3.63,1,0.18,0.87,0.7,1.0,0.27,95.43,129364,5,85,1381,42,9,6,9,0,2023-07-30 03:18,,55,Non-Binary,Canada
31,Song F,Artist F,Album F,2023-06-20,Hip-Hop,0.7,0.61,6,-14.84,0,0.2,0.43,0.3,0.92,0.31,60.32,231806,4,96,1813,11,4,2,9,5,2023-07-29 03:18,2023-07-29 03:18,31,Non-Binary,Germany
32,Song G,Artist G,Album G,2018-06-08,Jazz,0.24,0.35,11,-58.83,1,0.85,0.24,0.34,0.32,0.12,100.46,134726,5,83,1440,42,3,9,4,2,2023-07-02 03:18,2023-07-02 03:18,61,Male,Germany
33,Song H,Artist H,Album H,2023-04-26,Classical,1.0,0.51,11,-5.2,0,0.59,0.37,0.22,0.23,0.54,116.77,67411,4,82,1247,32,1,4,8,1,2024-06-06 03:18,,42,Female,Canada
34,Song I,Artist I,Album I,2016-09-30,Jazz,0.25,0.03,5,-5.96,1,0.65,0.17,0.95,0.64,0.6,199.09,102956,3,34,1774,25,1,7,0,1,2024-04-19 03:18,2024-04-19 03:18,20,Male,UK
35,Song J,Artist J,Album J,2014-07-13,Jazz,1.0,0.11,2,-54.97,0,0.57,0.52,0.09,0.74,0.75,164.73,199359,4,4,1131,18,9,7,1,1,2024-01-24 03:18,,35,Female,USA
36,Song K,Artist K,Album K,2022-04-06,Jazz,0.43,0.47,3,-28.96,1,0.65,0.64,0.2,0.54,0.71,136.53,283237,5,51,1517,46,1,4,6,1,2024-01-06 03:18,,42,Non-Binary,USA
37,Song L,Artist L,Album L,2020-11-04,Hip-Hop,0.34,0.14,2,-19.89,1,0.87,0.37,0.97,0.21,0.52,165.7,283613,4,46,1637,14,2,5,4,1,2024-03-25 03:18,2024-03-25 03:18,54,Female,UK
38,Song M,Artist M,Album M,2022-03-19,Jazz,0.82,0.76,1,-26.28,0,0.42,0.8,0.22,0.01,0.21,177.79,107230,5,42,1938,6,10,1,1,1,2024-01-15 03:18,2024-01-15 03:18,65,Non-Binary,Germany
39,Song N,Artist N,Album N,2016-09-18,Hip-Hop,0.02,0.03,5,-32.51,1,0.92,0.26,0.29,0.49,0.98,168.4,264684,5,83,1020,46,4,7,7,2,2023-08-10 03:18,2023-08-10 03:18,35,Female,Australia
40,Song O,Artist O,Album O,2015-04-04,Pop,0.62,0.81,4,-49.28,0,0.2,0.29,0.59,0.8,0.99,157.54,290070,4,36,1663,0,0,10,5,1,2023-06-27 03:18,2023-06-27 03:18,50,Non-Binary,Canada
41,Song P,Artist P,Album P,2019-10-11,Hip-Hop,0.56,0.3,4,-2.21,1,0.12,0.61,0.96,0.47,0.53,93.23,73055,3,37,1170,34,7,3,7,5,2023-07-21 03:18,,42,Non-Binary,Canada
42,Song Q,Artist Q,Album Q,2015-12-16,Jazz,0.5,0.42,6,-41.07,0,0.9,0.86,0.38,0.6,0.84,111.05,288664,4,87,1072,7,8,3,2,1,2023-09-04 03:18,,19,Male,Australia
43,Song R,Artist R,Album R,2021-10-14,Jazz,0.33,0.46,1,-28.31,1,0.76,0.18,0.31,0.24,0.98,179.3,223681,5,39,1801,10,10,3,9,4,2024-06-12 03:18,,61,Non-Binary,Canada
44,Song S,Artist S,Album S,2020-04-21,Jazz,0.83,0.39,7,-34.93,1,0.35,0.64,0.58,0.75,0.91,155.27,86358,3,18,1391,25,10,9,2,0,2023-07-17 03:18,2023-07-17 03:18,27,Male,UK
45,Song T,Artist T,Album T,2022-01-13,Pop,0.82,0.4,10,-51.22,1,0.42,0.67,0.91,0.89,0.56,101.73,293609,3,85,1443,10,2,7,7,1,2024-01-15 03:18,2024-01-15 03:18,40,Non-Binary,Australia
46,Song U,Artist U,Album U,2015-01-10,Jazz,0.77,0.14,4,-10.06,0,0.22,0.02,0.36,0.5,0.82,157.54,179845,5,2,1498,21,1,6,7,4,2023-09-24 03:18,2023-09-24 03:18,58,Male,Australia
47,Song V,Artist V,Album V,2017-01-10,Pop,0.18,0.15,8,-7.43,1,0.58,0.92,0.51,0.52,0.74,186.97,72390,3,36,1927,35,5,9,5,1,2023-06-28 03:18,2023-06-28 03:18,42,Female,Australia
48,Song W,Artist W,Album W,2021-11-04,Rock,0.72,0.46,1,-22.5,1,0.07,0.09,0.99,0.25,0.43,77.91,296916,4,98,1652,9,2,1,0,1,2023-12-03 03:18,,54,Non-Binary,USA
49,Song X,Artist X,Album X,2020-09-15,Jazz,0.79,0.22,3,-1.71,0,0.85,0.76,0.57,0.26,0.43,143.29,157127,5,95,1635,25,2,6,0,0,2024-03-26 03:18,2024-03-26 03:18,31,Female,Australia
50,Song Y,Artist Y,Album Y,2021-03-10,Classical,0.52,0.94,4,-7.79,0,0.56,0.9,0.77,0.03,0.19,175.52,104760,4,50,1365,11,6,9,0,2,2023-08-25 03:18,2023-08-25 03:18,32,Male,Germany
51,Song Z,Artist Z,Album Z,2020-04-13,Pop,0.36,0.25,11,-56.86,0,0.18,0.28,0.08,0.45,0.26,61.15,177077,5,18,1694,17,0,4,3,4,2023-10-31 03:18,,57,Female,Australia
52,Song A,Artist A,Album A,2020-05-29,Jazz,0.14,0.18,9,-49.37,1,0.36,0.83,0.35,0.56,0.75,85.41,126016,5,41,1849,25,9,3,9,5,2023-09-27 03:18,,36,Male,USA
53,Song B,Artist B,Album B,2023-06-16,Jazz,0.56,0.99,2,-50.44,0,0.72,0.12,0.18,0.06,0.33,168.42,70793,3,28,1570,19,7,4,4,5,2024-01-17 03:18,2024-01-17 03:18,31,Non-Binary,USA
54,Song C,Artist C,Album C,2014-07-03,Classical,0.69,0.56,10,-54.36,0,0.22,0.2,0.45,0.73,0.93,101.42,125201,4,47,1030,21,7,9,9,3,2023-11-04 03:18,2023-11-04 03:18,49,Male,UK
55,Song D,Artist D,Album D,2022-08-06,Hip-Hop,0.63,0.34,10,-13.65,0,0.4,0.54,0.41,0.26,0.98,122.98,245115,3,73,1588,38,8,1,3,4,2023-09-29 03:18,,60,Non-Binary,Australia
56,Song E,Artist E,Album E,2024-05-15,Pop,0.95,0.65,9,-0.04,0,0.44,0.68,0.56,0.63,0.86,94.37,130336,5,27,1617,8,8,9,8,2,2023-08-12 03:18,2023-08-12 03:18,55,Non-Binary,Canada
57,Song F,Artist F,Album F,2015-06-13,Jazz,0.75,0.28,0,-47.07,0,0.65,0.73,0.27,0.68,0.86,76.0,70373,4,54,1976,4,1,9,1,1,2024-04-12 03:18,2024-04-12 03:18,50,Non-Binary,Canada
58,Song G,Artist G,Album G,2021-12-30,Pop,0.54,0.27,6,-24.54,0,0.07,0.41,0.61,0.74,0.51,98.16,292270,3,7,1518,27,3,10,10,4,2024-04-08 03:18,2024-04-08 03:18,53,Female,USA
59,Song H,Artist H,Album H,2020-10-02,Pop,0.09,0.24,4,-49.01,0,0.24,0.12,0.06,0.84,0.06,95.85,192596,5,59,1527,6,4,9,7,2,2024-04-25 03:18,,37,Non-Binary,UK
60,Song I,Artist I,Album I,2020-10-28,Hip-Hop,0.56,0.39,7,-49.79,0,0.56,0.99,0.41,0.01,0.1,94.05,272192,3,50,1688,1,3,1,4,5,2023-10-13 03:18,2023-10-13 03:18,51,Non-Binary,Germany
61,Song J,Artist J,Album J,2020-11-07,Rock,0.9,0.43,11,-29.93,0,0.43,0.45,0.21,0.29,0.46,159.14,271911,3,98,1290,29,7,10,2,2,2023-12-18 03:18,,28,Female,USA
62,Song K,Artist K,Album K,2016-05-04,Jazz,0.95,0.63,7,-25.37,1,0.62,0.19,0.68,0.86,0.37,88.88,263753,5,92,1006,29,5,6,9,2,2024-04-21 03:18,2024-04-21 03:18,43,Male,Germany
63,Song L,Artist L,Album L,2015-06-09,Pop,0.87,0.68,6,-17.83,0,0.5,0.73,0.56,0.29,0.1,195.38,175634,5,16,1968,23,1,2,5,1,2023-11-19 03:18,,59,Female,UK
64,Song M,Artist M,Album M,2021-08-16,Jazz,0.42,0.3,7,-16.69,0,0.39,0.51,0.43,0.8,0.16,198.87,244823,4,5,1612,6,1,6,1,2,2023-08-22 03:18,2023-08-22 03:18,24,Non-Binary,UK
65,Song N,Artist N,Album N,2016-07-22,Hip-Hop,0.48,0.13,5,-18.38,0,0.8,0.88,0.45,0.76,0.21,90.34,162715,4,13,1434,26,8,8,4,4,2023-10-15 03:18,,62,Non-Binary,Germany
66,Song O,Artist O,Album O,2018-07-03,Rock,0.64,0.25,2,-9.6,1,0.51,0.75,0.7,0.81,0.36,81.61,143583,4,74,1991,11,4,4,3,3,2024-06-03 03:18,2024-06-03 03:18,36,Non-Binary,Germany
67,Song P,Artist P,Album P,2021-03-14,Rock,0.28,0.54,3,-39.76,1,0.11,0.89,0.97,0.73,0.53,94.75,177726,4,92,1202,42,5,6,7,1,2024-03-23 03:18,,63,Male,Canada
68,Song Q,Artist Q,Album Q,2015-05-06,Rock,0.66,0.47,3,-32.6,1,0.49,0.46,0.96,0.56,0.35,138.42,292779,5,72,1723,40,3,10,7,5,2023-10-09 03:18,,58,Non-Binary,USA
69,Song R,Artist R,Album R,2022-07-20,Pop,0.37,0.01,0,-44.02,1,0.56,0.97,0.95,0.87,0.75,97.66,115134,3,50,1580,2,9,1,2,1,2023-07-28 03:18,2023-07-28 03:18,20,Non-Binary,Australia
70,Song S,Artist S,Album S,2021-03-15,Rock,0.91,0.66,8,-39.23,0,0.67,0.19,0.29,0.68,0.41,157.32,145169,5,47,1983,21,1,4,2,3,2023-06-25 03:18,,22,Male,UK
71,Song T,Artist T,Album T,2023-05-14,Hip-Hop,0.34,0.43,9,-41.58,1,0.18,0.87,0.98,0.92,0.19,113.0,137242,3,83,1551,48,4,6,6,1,2023-06-16 03:18,,54,Male,USA
72,Song U,Artist U,Album U,2019-02-27,Jazz,0.12,0.18,10,-42.27,1,0.23,0.93,0.27,0.43,0.79,111.42,134429,5,60,1126,24,9,5,0,3,2023-07-22 03:18,,36,Female,Australia
73,Song V,Artist V,Album V,2017-06-27,Pop,0.73,0.3,7,-20.78,1,0.45,0.83,0.02,0.69,0.98,155.08,91129,3,67,1713,18,2,8,0,4,2023-09-01 03:18,,44,Non-Binary,USA
74,Song W,Artist W,Album W,2017-11-28,Jazz,0.33,0.33,6,-12.01,1,0.28,0.77,0.25,0.2,0.05,157.28,105729,4,57,1775,45,1,10,2,2,2023-08-29 03:18,2023-08-29 03:18,40,Female,Australia
75,Song X,Artist X,Album X,2016-08-11,Jazz,0.94,0.06,9,-8.91,1,0.54,0.86,0.61,0.64,0.56,68.49,146570,5,70,1954,14,4,0,1,3,2024-06-11 03:18,,33,Female,Australia
76,Song Y,Artist Y,Album Y,2015-06-06,Rock,0.08,0.45,10,-1.19,1,0.62,0.52,0.31,0.85,0.53,188.08,175567,4,22,1754,48,8,9,3,4,2024-03-22 03:18,,59,Female,USA
77,Song Z,Artist Z,Album Z,2015-12-09,Rock,0.99,0.42,9,-35.19,1,0.12,0.76,0.2,0.87,0.25,137.06,209604,4,82,1088,7,5,4,2,5,2024-04-14 03:18,,38,Non-Binary,Australia
78,Song A,Artist A,Album A,2018-10-14,Rock,0.38,0.92,7,-27.33,0,0.0,0.42,0.86,0.82,0.6,144.03,167220,4,49,1022,50,10,6,1,3,2024-02-12 03:18,2024-02-12 03:18,32,Male,USA
79,Song B,Artist B,Album B,2017-06-11,Rock,0.66,0.93,10,-1.15,1,0.81,0.21,0.22,0.02,0.22,125.08,148532,4,10,1473,6,3,0,3,3,2024-06-02 03:18,2024-06-02 03:18,23,Male,Germany
80,Song C,Artist C,Album C,2022-11-22,Pop,0.89,0.55,8,-38.3,0,0.08,0.47,0.28,0.87,0.36,156.54,91279,5,88,1894,35,1,2,5,1,2023-07-11 03:18,,25,Male,Germany
81,Song D,Artist D,Album D,2017-07-26,Hip-Hop,0.76,0.52,2,-36.97,0,0.19,0.29,0.74,0.79,0.04,199.03,124027,5,84,1677,34,5,1,3,3,2024-04-21 03:18,,45,Non-Binary,Canada
82,Song E,Artist E,Album E,2015-09-30,Rock,0.71,0.5,9,-27.99,0,0.68,0.85,0.32,0.73,0.03,132.0,240925,3,38,1872,13,3,9,6,5,2024-02-29 03:18,2024-02-29 03:18,53,Female,Australia
83,Song F,Artist F,Album F,2023-02-13,Classical,0.8,0.09,8,-37.78,1,0.19,0.48,0.23,0.11,0.74,126.51,176121,3,9,1584,1,3,6,7,2,2024-04-23 03:18,,63,Non-Binary,USA
84,Song G,Artist G,Album G,2016-09-10,Pop,0.18,0.41,4,-55.97,1,0.02,0.74,0.81,0.28,0.65,163.17,249489,4,85,1463,31,7,9,3,1,2023-06-21 03:18,2023-06-21 03:18,49,Male,Germany
85,Song H,Artist H,Album H,2015-01-01,Pop,0.24,0.72,7,-54.62,1,0.31,0.03,0.92,0.64,0.18,124.84,113832,4,68,1257,27,3,4,9,1,2023-10-01 03:18,2023-10-01 03:18,44,Female,USA
86,Song I,Artist I,Album I,2023-03-19,Pop,0.38,0.61,3,-58.77,1,0.71,0.46,0.13,0.54,0.39,97.6,98946,3,14,1931,23,6,2,5,0,2024-04-28 03:18,,48,Female,Australia
87,Song J,Artist J,Album J,2015-11-26,Classical,0.67,0.56,1,-52.19,1,0.15,0.51,0.92,0.95,0.91,165.73,168113,5,7,1732,2,3,9,4,4,2023-10-13 03:18,,23,Male,USA
88,Song K,Artist K,Album K,2016-11-12,Classical,0.38,0.37,4,-36.06,0,0.92,0.59,0.02,0.34,0.1,81.56,208669,4,62,1151,34,0,7,10,5,2024-02-11 03:18,,61,Non-Binary,Germany
89,Song L,Artist L,Album L,2017-05-03,Jazz,0.33,0.26,6,-24.03,1,0.65,0.53,0.75,0.05,0.85,108.66,266892,5,35,1221,18,0,1,2,0,2024-03-19 03:18,,54,Female,Canada
90,Song M,Artist M,Album M,2019-11-03,Hip-Hop,0.82,0.97,11,-41.98,0,0.38,0.98,0.22,0.58,0.64,186.43,120163,3,46,1370,23,2,4,9,5,2023-09-05 03:18,,36,Male,USA
91,Song N,Artist N,Album N,2022-03-29,Rock,0.23,0.11,3,-49.76,1,0.98,0.3,0.45,0.67,0.02,135.71,76522,5,36,1560,46,8,6,8,5,2023-10-01 03:18,,27,Non-Binary,UK
92,Song O,Artist O,Album O,2017-03-23,Hip-Hop,0.29,1.0,11,-11.45,0,0.32,0.79,0.93,0.01,0.28,162.07,263629,5,65,1662,12,4,3,10,4,2024-05-07 03:18,,27,Female,USA
93,Song P,Artist P,Album P,2019-08-21,Rock,0.68,0.32,1,-10.33,0,0.69,0.07,0.04,0.51,0.12,63.22,68037,4,45,1417,3,3,7,4,0,2024-05-30 03:18,2024-05-30 03:18,28,Male,Australia
94,Song Q,Artist Q,Album Q,2014-07-17,Rock,0.78,0.59,9,-58.92,1,0.61,0.01,0.25,0.33,0.48,196.8,127002,3,30,1524,34,8,9,7,1,2024-03-26 03:18,2024-03-26 03:18,38,Female,Canada
95,Song R,Artist R,Album R,2021-12-19,Jazz,0.64,0.17,10,-36.92,0,0.05,0.33,0.86,0.93,0.4,164.65,117429,5,46,1890,23,10,9,4,4,2024-02-12 03:18,2024-02-12 03:18,39,Male,Australia
96,Song S,Artist S,Album S,2015-12-20,Hip-Hop,0.3,0.06,5,-29.56,1,0.5,0.75,0.17,0.44,0.62,72.82,243563,3,74,1684,37,7,6,7,2,2024-02-07 03:18,2024-02-07 03:18,39,Non-Binary,Australia
97,Song T,Artist T,Album T,2022-06-07,Classical,0.05,0.2,8,-52.33,1,0.25,0.21,0.01,0.31,0.25,150.52,121891,4,38,1013,38,10,4,9,5,2023-08-09 03:18,,42,Female,Australia
98,Song U,Artist U,Album U,2022-03-31,Hip-Hop,0.82,0.09,8,-47.02,0,0.91,0.07,0.89,0.31,0.7,176.16,213369,4,61,1900,43,4,6,10,4,2023-10-13 03:18,2023-10-13 03:18,53,Non-Binary,Canada
99,Song V,Artist V,Album V,2021-07-10,Pop,0.97,0.57,8,-46.76,1,0.58,0.67,0.0,0.64,0.03,67.8,208678,3,60,1247,28,9,6,10,2,2023-09-10 03:18,,29,Male,UK
100,Song W,Artist W,Album W,2020-04-07,Rock,0.65,0.41,10,-31.94,0,0.08,0.28,0.72,0.23,0.86,67.28,231423,5,58,1936,21,6,9,1,0,2023-12-31 03:18,,44,Female,Canada
101,Song X,Artist X,Album X,2021-03-08,Classical,0.73,0.42,5,-10.78,0,0.76,0.31,0.17,0.68,0.33,134.09,168953,3,44,1978,16,5,7,2,0,2024-04-07 03:18,,22,Female,Germany
102,Song Y,Artist Y,Album Y,2014-07-22,Jazz,0.53,0.8,8,-31.83,0,0.28,0.21,0.32,0.61,0.01,104.82,124988,4,97,1628,1,3,7,2,0,2023-10-14 03:18,2023-10-14 03:18,57,Non-Binary,UK
103,Song Z,Artist Z,Album Z,2014-12-20,Rock,0.12,0.1,2,-13.12,0,0.61,0.91,0.46,0.12,0.17,65.31,209394,5,2,1926,10,1,0,3,0,2023-10-20 03:18,,32,Non-Binary,Germany
104,Song A,Artist A,Album A,2019-03-30,Pop,0.49,0.32,6,-44.5,1,0.53,0.33,0.02,0.22,0.4,79.39,90384,3,91,1289,39,7,1,0,4,2024-06-07 03:18,2024-06-07 03:18,58,Female,USA
105,Song B,Artist B,Album B,2017-01-30,Rock,0.89,0.24,10,-57.11,0,0.15,0.54,0.83,0.75,0.05,72.67,171738,4,85,1149,39,1,1,8,5,2023-07-11 03:18,,50,Male,UK
106,Song C,Artist C,Album C,2019-04-09,Classical,0.19,0.62,1,-24.7,0,0.82,0.26,0.6,0.3,1.0,70.95,195754,4,39,1598,15,6,1,7,1,2024-03-22 03:18,2024-03-22 03:18,38,Male,Germany
107,Song D,Artist D,Album D,2014-08-07,Rock,0.0,0.18,5,-5.44,1,0.59,0.25,0.54,0.19,0.14,60.94,256868,4,90,1122,45,3,3,6,1,2023-08-11 03:18,,51,Non-Binary,Australia
108,Song E,Artist E,Album E,2016-06-05,Rock,0.25,0.71,5,-10.62,0,0.91,0.38,0.21,0.08,0.28,116.86,189175,3,71,1107,19,3,6,1,5,2023-08-18 03:18,,26,Non-Binary,UK
109,Song F,Artist F,Album F,2015-04-12,Hip-Hop,0.68,0.1,0,-13.25,1,0.09,0.92,0.4,0.83,0.13,70.38,104595,5,11,1183,30,5,6,2,4,2024-03-14 03:18,2024-03-14 03:18,62,Non-Binary,UK
110,Song G,Artist G,Album G,2018-12-03,Jazz,0.6,0.84,9,-35.89,1,0.16,0.61,0.44,0.05,0.66,70.09,145682,4,88,1597,17,10,7,6,3,2023-08-25 03:18,,23,Non-Binary,UK
111,Song H,Artist H,Album H,2023-12-02,Pop,0.12,0.97,1,-52.86,0,0.5,0.75,0.72,0.94,0.11,170.53,88857,4,94,1819,10,4,1,7,5,2024-02-08 03:18,2024-02-08 03:18,65,Male,Canada
112,Song I,Artist I,Album I,2022-07-02,Hip-Hop,0.54,0.54,3,-33.83,0,0.77,0.99,0.11,0.44,0.98,86.57,131119,3,66,1965,24,3,8,4,4,2023-09-28 03:18,2023-09-28 03:18,34,Non-Binary,UK
113,Song J,Artist J,Album J,2021-05-09,Pop,0.98,0.56,4,-35.87,0,0.21,0.47,0.17,0.16,0.98,190.6,212947,5,65,1265,42,8,2,8,2,2024-05-20 03:18,,62,Non-Binary,Canada
114,Song K,Artist K,Album K,2019-09-21,Classical,0.97,0.27,9,-19.51,0,0.44,0.28,0.43,0.28,0.54,96.98,89093,5,46,1843,22,3,3,9,5,2023-10-24 03:18,,38,Female,Canada
115,Song L,Artist L,Album L,2021-07-14,Pop,0.43,0.5,3,-55.5,1,0.48,0.26,0.08,0.36,0.65,83.23,91970,3,78,1471,45,10,4,7,3,2024-06-09 03:18,2024-06-09 03:18,48,Female,Canada
116,Song M,Artist M,Album M,2014-08-12,Jazz,0.19,0.55,4,-24.2,0,0.32,0.0,0.68,0.45,0.76,137.29,169324,4,15,1060,10,10,2,9,4,2024-04-08 03:18,2024-04-08 03:18,19,Female,USA
117,Song N,Artist N,Album N,2015-05-31,Jazz,0.45,0.76,6,-22.34,1,0.75,0.45,0.55,0.31,0.55,150.8,248674,3,19,1337,30,10,6,9,0,2023-10-31 03:18,,46,Female,Australia
118,Song O,Artist O,Album O,2021-11-05,Hip-Hop,0.86,0.7,0,-48.26,1,0.14,0.02,0.72,0.65,0.88,90.85,61581,5,20,1601,42,6,5,10,0,2023-12-03 03:18,,55,Non-Binary,UK
